Geneid	Chr	Start	End	Strand	Length	cal_9a	cal_9b	cal_9c1	cal_9c2	cal_9d1	cal_9d2	spn_18a	spn_18b	spn_18c	spn_19ar	spn_19br	spn_19c	imp_3ba1	imp_3ba2	imp_3bb	imp_3bc	imp_3bd1	imp_3bd2r	heq_13a	heq_13bbr	heq_13c	heq_13d	heq_14a	heq_14b	heq_14ccr	lab_11a1	lab_11a2	lab_12a	lab_12b	lab_12c1	lab_12c2	rev_24a1r	rev_24a2	rev_24b1	rev_24b2	rev_25a1	rev_25a2	rev_25aaq3r
g3876	ptg000004l	8905121	8905474	+	354	22	21	22	58	81	37	20	28	108	45	19	48	2	7	0	12	20	21	124	50	343	76	123	65	180	0	1	14	19	48	25	19	61	57	53	169	320	31
g3877	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	8953142;8953530;8953928;8954412;8954945;8955238;8955607;8955871;8956025	8953244;8953672;8954311;8954501;8955118;8955375;8955744;8955932;8956298	+;+;+;+;+;+;+;+;+	1506	6365	6166	734	2213	1543	3185	5643	10355	8995	8465	6080	69745	4293	5223	10503	2621	685	3651	38330	74038	60903	9515	38270	4436	60870	4239	1937	5805	11522	6223	5271	14582	20027	10277	5791	2136	1985	14828
g3878	ptg000004l	8966075	8967121	-	1047	7323	16189	9513	13862	10618	10395	8671	5956	9636	15999	15497	19336	8243	11711	6113	7513	10337	16606	12857	27579	15070	8867	21257	11622	20652	5537	2817	7888	7828	12100	10127	17042	33446	11244	6453	12007	15732	14117
g3879	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	8978925;8980469;8981028;8981542;8981718;8982514;8982756;8982985;8983378;8983677;8983924;8984252	8979240;8980676;8981199;8981607;8981831;8982630;8982882;8983271;8983568;8983747;8984000;8984413	+;+;+;+;+;+;+;+;+;+;+;+	1908	126	0	5	2	26	5	19	12	4	5	139	38	0	1	0	0	1	0	190	38	97	52	713	62	159	0	0	8	5	4	1	19	36	77	298	109	1384	220
g3880	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9013353;9013353;9014328;9014328;9015203;9015203;9020723;9020862;9020862;9021492;9021492;9021748;9021748;9021970;9021970;9022345;9022345;9022695;9022695;9023074;9023074;9023610;9023610	9013668;9013668;9014535;9014535;9015374;9015374;9020788;9020975;9020975;9021608;9021608;9021874;9021874;9022256;9022256;9022535;9022535;9022765;9022765;9023150;9023150;9023765;9023765	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g3881	ptg000004l	9078152	9080431	+	2280	2560	4912	2058	8662	7786	7772	6876	5824	5007	11514	11932	2368	2448	4442	3293	1180	2199	4334	2409	4816	5330	4151	10100	3674	19064	2723	1162	4010	3226	10302	3294	11427	16866	26347	16726	2861	1419	4663
g3882	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9140151;9141144;9141301;9141783;9141959;9144098;9144346;9144812;9145475;9146203;9146409;9146575;9146827;9149665	9140298;9141186;9141478;9141866;9142057;9144262;9144728;9145130;9145909;9146299;9146467;9146662;9146888;9149763	-;-;-;-;-;-;-;-;-;-;-;-;-;-	2259	1980	5332	3497	6138	3039	3757	4123	4118	3198	7257	4691	5624	1861	4445	2505	3409	3931	8106	4415	7485	5676	4211	7809	4162	11198	1980	1010	1872	2158	4435	3351	8107	17181	7795	4776	5251	4134	6911
g3883	ptg000004l;ptg000004l	9149801;9149956	9149806;9150162	-;-	213	0	8	13	33	5	9	20	19	23	6	10	6	0	1	0	4	7	4	9	6	0	9	20	0	41	15	1	0	0	6	20	29	35	41	21	0	12	50
g3884	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9158460;9158478;9158941;9158941;9159197;9159197	9158672;9158672;9159016;9159016;9159330;9159330	+;+;+;+;+;+	423	0	15	1	0	7	11	5	4	0	34	15	0	0	14	4	2	0	9	9	0	77	31	86	9	18	11	16	21	78	30	7	9	178	252	155	0	11	2
g3885	ptg000004l	9178394	9178867	+	474	1069	2012	1513	3355	3316	2643	2865	2732	4332	4189	5046	1585	1581	1912	1319	972	2213	3096	2181	3166	3272	1715	4355	2731	4139	1910	1068	2297	2326	5106	2654	2967	8782	2120	2071	4176	3150	2263
g3886	ptg000004l;ptg000004l;ptg000004l	9194082;9194986;9196247	9194539;9195293;9197403	+;+;+	1923	414	1004	457	1096	616	638	659	514	811	1129	854	847	518	1046	648	658	1088	1548	1110	1365	813	770	2349	1022	1627	337	120	692	554	1088	583	918	2117	1266	998	730	849	725
g3887	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9199560;9199560;9199761;9199761;9202004;9202004;9202233;9202233;9202684;9202684;9203437;9203437;9203661;9203661;9204002;9204002;9204169;9204169;9204441;9204441;9204657;9204657;9205131;9205131;9205774;9205774;9206377;9206377;9206685;9206685;9206917	9199629;9199629;9199907;9199907;9202146;9202146;9202283;9202283;9202839;9202839;9203580;9203580;9203803;9203803;9204071;9204071;9204264;9204264;9204530;9204530;9204710;9204710;9205254;9205254;9205898;9205898;9206499;9206499;9206753;9206777;9206922	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1635	2993	6301	4398	6163	3938	5116	7356	6406	6067	8106	7720	11063	3419	5263	4222	1846	7117	13366	10036	14482	11083	14250	13077	8228	39180	6279	3593	8252	6271	6829	7947	14222	29772	8506	5746	6401	4478	19271
g3888	ptg000004l;ptg000004l;ptg000004l	9207743;9208316;9209608	9207999;9208415;9209784	-;-;-	534	0	207	7	0	154	130	3	3	1	2	12	1	277	460	206	264	181	256	292	278	0	182	0	164	1	100	38	272	194	560	229	9	3	0	3	471	459	363
g3889	ptg000004l;ptg000004l	9215257;9216103	9215615;9216541	+;+	798	12	390	205	630	71	227	390	561	350	594	215	339	258	511	303	20	40	97	412	597	623	473	357	357	1309	507	162	380	180	822	791	1317	2360	880	740	162	14	2113
g3890	ptg000004l;ptg000004l;ptg000004l;ptg000004l	9229369;9230058;9230661;9230969	9229540;9230182;9230783;9231061	+;+;+;+	513	1	4	2	2	2	4	3	2	5	1	1	5	0	11	0	2	4	7	6	5	9	3	0	4	36	0	0	2	0	0	3	0	0	0	1	0	0	0
g3891	ptg000004l;ptg000004l;ptg000004l	9231996;9232539;9233743	9232252;9232638;9233922	-;-;-	537	803	2020	1658	4250	1803	1181	1513	1300	2003	2572	3545	2337	2014	2220	1130	1048	2230	2530	1944	4351	2224	2410	3065	1908	3362	880	411	1654	2002	4448	2353	2291	4627	3269	2230	2517	2696	3533
g3892	ptg000004l;ptg000004l	9241987;9242832	9242344;9242839	+;+	366	2	68	13	57	10	8	67	68	19	51	51	4	35	43	18	3	0	14	19	39	56	36	26	5	85	30	14	47	7	66	45	135	220	48	62	4	0	369
g3893	ptg000004l	9243004	9243270	+	267	1	124	75	321	23	64	96	185	100	176	131	234	140	240	101	14	19	58	122	374	259	214	188	175	372	168	49	228	68	336	378	445	822	296	207	140	20	965
g3894	ptg000004l;ptg000004l	9370366;9371265	9370757;9371703	+;+	831	23	458	258	804	242	451	242	87	124	139	162	333	39	72	35	83	67	164	271	372	247	147	373	168	403	399	182	346	643	697	501	97	74	227	167	1	0	121
g3895	ptg000004l;ptg000004l	9427552;9428440	9427943;9428875	+;+	828	0	0	7	0	3	5	3	0	3	0	0	0	0	4	2	0	0	0	0	0	0	0	5	0	0	0	0	0	0	4	4	0	0	4	0	0	0	0
g3896	ptg000004l;ptg000004l;ptg000004l	9455426;9456018;9456872	9455775;9456582;9457429	+;+;+	1473	4	44	4	92	15	11	73	17	116	30	102	23	83	95	45	31	25	50	18	106	64	21	61	77	91	1	0	8	42	25	45	40	48	68	50	108	130	420
g3897	ptg000004l;ptg000004l;ptg000004l;ptg000004l	9514209;9516527;9516899;9517300	9515318;9516748;9516990;9517996	+;+;+;+	2121	42	63	4	120	130	87	54	45	93	171	203	32	112	288	81	66	36	136	0	144	66	7	82	173	0	41	9	32	10	161	12	26	109	221	87	38	0	2
g3898	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9554412;9563191;9563629;9563882;9571826;9572423;9572671;9577207;9579702;9580540;9581046;9582627;9582971;9586166;9589617;9590207;9590644	9554882;9563424;9563716;9564090;9571927;9572485;9574932;9577569;9579842;9580932;9581528;9582850;9583315;9586460;9590063;9590569;9590688	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6528	589	2392	1151	1767	870	2022	3010	2530	2696	3899	1993	4895	503	2023	1903	1613	1239	4545	2187	5398	2518	2404	4665	1966	8800	1419	755	1988	1506	1788	2166	3507	5991	3175	2153	1446	1604	2064
g3899	ptg000004l;ptg000004l;ptg000004l;ptg000004l	9598019;9598684;9599057;9616105	9598207;9598975;9599182;9616787	-;-;-;-	1290	659	2076	1429	2445	1500	1318	1036	1017	1554	2112	1544	2715	1103	1813	923	1265	1916	2354	1817	3818	2336	1120	2575	1868	3267	931	391	1016	1011	2113	1376	1438	3656	1932	1199	1715	1655	2129
g3900	ptg000004l;ptg000004l	9629143;9630355	9629365;9630374	+;+	243	20	157	126	296	92	145	168	120	166	194	184	149	77	156	83	101	77	264	34	226	155	21	162	71	426	93	24	112	94	127	106	132	325	235	183	100	60	149
g3901	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9630427;9631078;9632819;9633428;9633695;9635586	9630933;9631211;9632932;9633599;9633763;9635855	+;+;+;+;+;+	1266	1508	5492	2839	8279	4150	4065	3544	3263	6216	6840	7399	5410	5379	6803	3746	2910	3452	5598	2923	10789	4491	3200	5162	4153	10392	3126	1149	2947	3883	7634	3559	4879	9156	13026	6931	4490	5030	8597
g3902	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9639593;9639620;9639935;9639935;9640249;9640249;9640524;9640524	9639861;9639861;9640131;9640131;9640333;9640333;9640602;9640602	+;+;+;+;+;+;+;+	630	9	76	3	115	42	30	59	72	145	139	155	24	24	91	8	20	29	31	19	48	80	54	33	61	58	10	5	20	13	90	36	47	114	14	5	36	27	66
g3903	ptg000004l;ptg000004l	9649769;9651978	9650932;9652337	+;+	1524	1513	4539	2184	7872	3918	3317	3262	2965	5091	7517	7282	3740	3466	5037	2183	2356	3369	6062	3064	7206	4964	2514	5874	4445	5992	2217	858	2848	3441	8738	3964	3671	8846	5981	3814	4811	3024	4262
g3904	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9655701;9656430;9657440;9662549;9662773	9655832;9656678;9657662;9662662;9662918	-;-;-;-;-	864	2167	4879	3522	4297	3987	3499	2270	1651	3047	5229	4199	5586	1095	1760	829	1369	3009	3750	2222	6681	2588	3443	3146	2152	4076	2042	769	2021	2061	3143	3187	4945	10494	3478	2032	5100	3461	8644
g3905	ptg000004l;ptg000004l	9666124;9667390	9666590;9667987	+;+	1065	151	126	16	41	77	118	210	186	223	250	238	591	59	56	81	12	65	109	383	650	75	691	50	29	536	150	70	74	236	33	38	410	421	64	84	44	180	3633
g3906	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9668417;9668596;9669014;9669265;9669485;9669962;9670363;9673080;9673242;9673433;9673625;9674868;9675062	9668494;9668685;9669172;9669362;9669536;9670043;9670490;9673142;9673355;9673474;9673748;9674976;9675173	-;-;-;-;-;-;-;-;-;-;-;-;-	1251	2111	5943	2553	4050	2641	3081	3693	3748	4232	5232	3834	7243	2356	3652	2861	1938	3432	5361	4635	9599	4430	4944	4962	3893	10342	2093	978	2899	2889	3926	2840	5365	11572	4932	3119	3713	3070	7659
g3907	ptg000004l;ptg000004l;ptg000004l	9679970;9682250;9682585	9681278;9682488;9682998	+;+;+	1962	501	2276	734	4634	2065	1681	1931	1293	2847	4135	5560	1337	1485	1819	1090	467	734	1656	524	2822	1775	728	2379	1117	2362	953	323	1088	1201	2602	1081	1237	1772	4886	3407	999	567	1244
g3908	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9688974;9688974;9689928;9689928;9691569;9691569;9691856;9691856	9689811;9689811;9690295;9690301;9691642;9691642;9691910;9691910	-;-;-;-;-;-;-;-	1341	968	2558	1898	2179	1383	1425	1439	1545	1186	2190	1732	3466	1312	2713	1736	1651	2694	5087	3199	4778	3652	3555	4554	3421	9352	928	619	1740	1508	1233	1557	4261	8086	2183	1400	2135	1814	4198
g3909	ptg000004l;ptg000004l;ptg000004l;ptg000004l	9698046;9699148;9700285;9700506	9698244;9699756;9700361;9700982	+;+;+;+	1362	305	1117	551	678	841	661	839	690	261	1392	920	1840	379	1051	775	898	1241	2019	1642	2219	1155	831	897	2626	1574	595	410	579	532	551	1293	1589	2861	425	367	946	671	1015
g3910	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9708469;9709322;9709481;9709722;9710976;9711113;9714328;9714918;9721519	9708507;9709390;9709546;9709790;9711029;9711167;9714770;9715016;9721629	-;-;-;-;-;-;-;-;-	1005	1888	5574	3906	5351	3801	3181	3169	2418	3140	4974	4774	5402	2938	5050	2321	3389	4786	7888	3622	8340	5399	3049	6641	4511	7907	2187	1026	2440	2796	4351	3230	6661	14117	5854	3072	5233	4102	5395
g3911	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9782353;9782792;9783095;9783369;9783618;9784675;9784878;9785099;9785521;9785724;9785899;9786185;9786549;9786775;9786999;9787724;9787951;9788110;9788500;9788651;9788828;9789061	9782709;9783000;9783241;9783502;9783727;9784781;9785016;9785215;9785628;9785795;9786021;9786344;9786670;9786912;9787141;9787786;9788014;9788245;9788573;9788745;9788859;9789230	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2820	13	758	148	840	226	225	386	348	296	629	546	404	242	533	281	108	38	456	40	646	187	204	261	93	306	125	75	243	121	781	175	52	72	290	213	2	9	38
g3912	ptg000004l	9813904	9815502	-	1599	1429	8362	3936	11103	4027	5176	3745	3469	5450	9898	7545	8775	6116	6271	3723	2271	4084	8534	2494	14891	2755	2867	3374	3723	4516	3680	1584	3705	3957	6961	7055	3086	9695	9195	6575	4928	3075	3979
g3913	ptg000004l	9838469	9839653	-	1185	10	0	7	15	7	1	3	4	1	3	6	0	8	14	2	10	18	14	29	8	3	37	13	80	8	14	0	0	0	7	4	9	18	71	23	0	16	0
g3914	ptg000004l;ptg000004l	9843135;9843141	9845141;9845141	+;+	2007	29	80	108	165	99	91	118	106	114	118	138	122	76	168	69	85	103	160	107	198	222	131	256	66	531	35	27	78	26	72	56	157	322	78	61	138	156	159
g3915	ptg000004l	9884130	9884360	-	231	30	347	1	7	61	162	84	54	489	5	10	10	7	33	61	27	635	158	217	17	1248	6242	5066	290	10476	870	2402	8709	949	40	123	10993	10493	214	188	30	55	67
g3916	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9888605;9890305;9890563;9890712;9891021;9891214;9892465;9893439	9889021;9890442;9890631;9890783;9891103;9891345;9892678;9893483	+;+;+;+;+;+;+;+	1170	1164	5775	2462	3521	2106	2667	4892	3816	5199	5008	5223	9538	3985	4971	3285	2793	5735	7593	9722	13523	8233	15716	11582	8827	34592	3547	2527	11386	4916	5374	6283	15474	25639	5962	4267	4678	5843	10506
g3917	ptg000004l;ptg000004l	9894153;9916373	9894449;9916486	-;-	411	3411	7804	5213	8072	6585	4446	4228	3395	3253	8836	8019	10977	5660	7713	5182	5317	8748	11756	8720	16637	13174	5747	13089	9632	17879	3680	1505	4132	5024	9165	7461	7636	18633	7497	4205	11480	8941	12118
g3918	ptg000004l;ptg000004l;ptg000004l	9971557;9971761;9972557	9971677;9972061;9972563	+;+;+	429	1	125	71	250	437	166	135	821	375	1351	1258	274	746	1807	397	532	1116	1442	732	1020	957	811	1147	890	1837	629	145	485	698	2339	1107	950	2103	1824	1249	873	498	1077
g3919	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	9977420;9978353;9978531;9984202;9985483;9986032	9977615;9978442;9978673;9984325;9985769;9986124	+;+;+;+;+;+	933	1631	3876	2450	4302	3166	2353	2893	2753	3224	6080	5629	6579	2406	4393	1799	3920	6096	6280	5168	8985	6276	3018	7936	5443	5877	1902	879	2509	1982	6432	3419	3719	10867	3943	2331	7921	6069	5573
g3920	ptg000004l;ptg000004l	10011597;10012013	10011871;10012346	+;+	609	0	8	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
g3921	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10015088;10017729;10017905;10018300;10018614;10018815;10019008;10019364;10019778;10019974;10021726	10015974;10017804;10018099;10018485;10018646;10018913;10019253;10019681;10019835;10020339;10021913	-;-;-;-;-;-;-;-;-;-;-	2652	274	709	334	2232	753	587	1648	936	1527	2363	2684	728	954	1396	783	909	1485	2587	669	1682	3209	860	1810	1248	869	951	185	620	1197	1339	934	250	892	9173	5048	784	1399	1027
g3922	ptg000004l	10126661	10127023	+	363	37	0	22	42	27	10	3	14	0	31	37	66	0	0	1	0	1	17	37	66	94	26	109	49	39	72	16	26	8	46	55	3	36	0	17	49	22	13
g3923	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10148701;10148996;10149612;10149794;10152434;10152611;10152873;10153291	10148703;10149065;10149668;10149911;10152523;10152790;10152950;10153360	+;+;+;+;+;+;+;+	666	5446	10229	7747	10045	8641	5733	5453	4846	7910	11044	10543	17455	7124	11058	4641	7819	13171	14288	14495	24579	17194	7340	21452	14668	16613	4239	1872	4354	5973	10647	6725	10822	23616	8917	5081	18343	25907	10386
g3924	ptg000004l;ptg000004l	10161732;10162954	10162541;10163355	-;-	1212	289	1138	619	1270	597	545	365	246	352	763	596	698	341	528	210	311	352	543	483	1039	471	148	617	439	431	222	85	291	311	520	236	593	1367	466	297	437	617	677
g3925	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10170499;10171192;10171382;10173918;10177015;10177246;10178615	10170675;10171275;10171567;10174107;10177120;10177438;10178821	-;-;-;-;-;-;-	1143	939	1911	980	1672	1160	1042	1187	1260	1438	2200	1942	3029	954	1438	662	780	1429	2050	2088	3983	2346	1441	2546	1488	2960	923	402	1411	1150	2843	1826	3039	6115	2860	1760	2281	2301	2418
g3926	ptg000004l	10197537	10198892	+	1356	130	363	223	933	205	192	387	219	506	684	979	572	522	515	330	304	422	649	559	1094	686	385	1025	482	579	248	82	172	353	678	373	445	936	1133	691	673	634	675
g3927	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10218251;10218746;10219411;10219595;10220014;10220933;10221169;10224636;10224815	10218281;10218860;10219447;10219664;10220118;10221083;10221251;10224729;10224899	+;+;+;+;+;+;+;+;+	771	3521	7588	4930	9116	5873	4955	5973	5071	7588	9906	10214	10518	4696	6794	3600	3878	7447	11404	7527	15214	6586	7242	10359	9090	10273	3541	1503	4222	4425	9542	5917	7430	17228	8824	5292	8539	7626	7527
g3928	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10226876;10226876;10227109;10227109;10228550;10228550;10228757;10230052;10230052	10227009;10227009;10227189;10227189;10228837;10228615;10228837;10230205;10230205	-;-;-;-;-;-;-;-;-	657	505	1447	836	1945	1282	884	670	708	1008	1425	1469	837	831	1236	494	583	775	1510	662	1668	1170	722	1829	1027	1852	312	206	737	851	2376	1013	1065	1988	2143	1305	1048	883	1166
g3929	ptg000004l	10232061	10233104	-	1044	2092	6339	4179	6158	4017	3416	3522	2883	4476	6234	6777	9451	4298	6416	3175	4267	6200	8354	5908	13749	5732	4562	8505	5946	10346	2615	1246	2976	3588	5661	4200	6961	13212	6474	3908	6244	6092	8488
g3930	ptg000004l;ptg000004l;ptg000004l	10314296;10314435;10314696	10314338;10314583;10314839	-;-;-	336	313	411	293	585	389	258	272	203	387	410	509	796	219	371	265	203	425	369	908	1015	651	857	739	934	1623	102	35	413	322	510	328	532	1215	213	195	661	774	950
g3931	ptg000004l;ptg000004l;ptg000004l;ptg000004l	10319693;10319940;10320270;10320638	10319855;10320177;10320420;10320895	+;+;+;+	810	14	12	0	38	44	31	43	6	78	15	69	25	15	22	30	17	21	32	13	40	13	17	6	0	44	0	6	17	36	78	1	32	40	10	30	0	18	36
g3932	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10328523;10328523;10329987;10329987;10330218	10328863;10328863;10330057;10330065;10330231	+;+;+;+;+	434	2	0	0	0	0	0	231	108	9	21	50	179	0	0	0	0	0	0	0	179	0	0	10	3	9	3	8	33	30	20	26	0	6	133	178	25	0	6
g3933	ptg000004l;ptg000004l	10336872;10339113	10337802;10339369	+;+	1188	520	865	503	1186	701	480	612	518	1069	943	1222	1067	763	1023	582	536	1056	1244	1322	1830	1640	801	2189	1090	2085	606	262	340	926	1304	804	1163	2063	1493	846	1216	892	1115
g3934	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10341173;10342878;10343110;10343435;10344675;10345945	10341769;10343018;10343214;10343534;10344767;10346237	+;+;+;+;+;+	1329	1127	4133	2559	6612	2165	2233	3517	2606	3836	3835	3870	3564	2533	3899	2948	1981	2662	4839	2474	6097	2921	3527	4564	2721	12057	2167	881	980	1470	3687	2185	3998	8107	4036	2459	2026	2296	4822
g3935	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10369564;10369564;10369793;10369793;10370030;10370030;10370616	10369692;10369692;10369936;10369936;10370761;10370519;10370890	-;-;-;-;-;-;-	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
g3936	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10390702;10393297;10394061;10395339;10395533;10397886;10398078;10398230;10405060;10405354;10405523;10406666;10406832	10390869;10393339;10394136;10395398;10395583;10397940;10398148;10398281;10405137;10405443;10405636;10406734;10406888	+;+;+;+;+;+;+;+;+;+;+;+;+	984	3733	5034	3665	4899	5689	3993	3882	3190	3995	6777	6449	4331	2519	4398	1874	2770	5933	6202	6790	6850	7237	4029	11878	5361	8154	1837	972	2801	3006	6344	3261	6928	17871	5984	4092	8547	6714	4427
g3937	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10411142;10411142;10412987;10412987;10414898;10414898;10415081	10411216;10411216;10413097;10413097;10414972;10416328;10416328	+;+;+;+;+;+;+	1617	386	751	516	970	645	493	433	461	537	840	599	487	311	598	317	368	642	1183	744	798	862	645	958	953	1468	300	100	402	287	784	502	908	2442	784	427	873	660	1038
g3938	ptg000004l;ptg000004l;ptg000004l	10420422;10420559;10420582	10420468;10420897;10420897	-;-;-	386	2433	5269	2923	5541	3344	2765	2333	1638	2039	3382	3156	3432	2425	3426	1965	2166	4264	5043	4586	5857	6620	3468	11812	4478	7994	976	516	1663	1884	3493	2123	5626	9098	3776	2297	3018	1936	5941
g3939	ptg000004l;ptg000004l	10426848;10428301	10427003;10428735	-;-	591	7	0	17	106	16	15	0	0	0	0	0	0	0	0	0	0	3	7	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g3940	ptg000004l;ptg000004l	10442465;10443937	10442620;10444371	-;-	591	0	18	4	65	8	19	0	0	6	0	0	0	0	18	2	0	1	7	0	0	5	0	36	0	45	0	0	0	0	4	2	0	8	6	6	0	0	0
g3941	ptg000004l;ptg000004l;ptg000004l	10451942;10452621;10452988	10452199;10452726;10453139	-;-;-	516	14	17	2	2	6	27	0	0	0	7	0	0	14	27	1	6	28	16	16	14	3	0	70	19	0	0	0	10	12	6	4	2	0	0	0	0	4	0
g3942	ptg000004l;ptg000004l	10467930;10469452	10467956;10470717	+;+	1293	1712	4856	2257	5205	1979	2367	1937	2186	2765	3712	3510	4734	2522	3450	1965	1721	1925	3245	3700	7256	1936	2605	2813	2093	4883	1361	779	1547	2212	3733	2701	4694	11584	2928	1670	3078	2658	5073
g3943	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10471459;10471682;10473697;10473851;10475824;10477011;10477275;10479472;10480511;10480858;10482112	10471587;10471774;10473763;10473956;10475908;10477102;10477397;10479577;10480617;10480949;10482245	-;-;-;-;-;-;-;-;-;-;-	1134	459	1474	543	1629	560	909	970	913	997	1483	1516	1658	977	1164	779	457	876	1497	1006	2635	2158	1018	2007	982	2228	831	338	1053	1120	2086	1364	830	1620	1885	1283	643	815	914
g3944	ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l;ptg000004l	10484068;10484853;10486008;10486650;10486916;10487361	10484751;10484936;10486250;10486817;10487029;10487951	+;+;+;+;+;+	1884	22	21	0	4	7	8	24	49	56	49	26	13	7	24	26	0	7	9	23	20	10	27	42	69	160	17	12	5	0	24	17	143	205	24	33	38	64	86
g3945	ptg000004l	10493607	10494014	+	408	268	376	265	593	435	227	320	221	292	419	441	566	362	412	267	235	524	499	613	928	652	375	800	609	841	190	83	209	349	511	357	409	964	453	248	506	438	353
