	Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
true	[INTERPRO, BLASTED, ANNOTATED]	g3459	probable LRR receptor-like serine/threonine-protein kinase RFK1 isoform X7	231	9	5.97E-35	95.83	2	F:GO:0004674; F:GO:0005515	F:protein serine/threonine kinase activity; F:protein binding			IPR001611 (PFAM); IPR032675 (G3DSA:3.80.10.GENE3D); IPR051824 (PANTHER); SSF52058 (SUPERFAMILY)	F:GO:0004674; F:GO:0005515	F:protein serine/threonine kinase activity; F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	g3460	linamarin synthase 2-like	1479	3	0.0	93.26	2	F:GO:0080043; F:GO:0080044	F:quercetin 3-O-glucosyltransferase activity; F:quercetin 7-O-glucosyltransferase activity			G3DSA:3.40.50.2000:FF:000027 (FUNFAM); G3DSA:3.40.50.2000:FF:000055 (FUNFAM); G3DSA:3.40.50.2000 (GENE3D); G3DSA:3.40.50.2000 (GENE3D); IPR002213 (PFAM); PTHR11926 (PANTHER); IPR035595 (PROSITE_PATTERNS); IPR002213 (CDD); SSF53756 (SUPERFAMILY)	F:GO:0008194; F:GO:0080043; F:GO:0080044	F:UDP-glycosyltransferase activity; F:quercetin 3-O-glucosyltransferase activity; F:quercetin 7-O-glucosyltransferase activity
true	[INTERPRO, BLASTED]	g3461	uncharacterized protein LOC127804218	948	1	2.69E-196	93.97						IPR000073 (PRINTS); IPR029058 (G3DSA:3.40.50.GENE3D); IPR000073 (PFAM); IPR052370 (PANTHER); IPR029058 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g3462	wall-associated receptor kinase-like 20	882	1	4.23E-204	95.47	1	F:GO:0030247	F:polysaccharide binding			IPR032872 (PFAM); IPR025287 (PFAM); PTHR33355 (PANTHER)	F:GO:0030247	F:polysaccharide binding
true	[INTERPRO, BLASTED]	g3463	uncharacterized protein LOC127804218	948	1	8.98E-211	95.56						IPR000073 (PRINTS); IPR000073 (PFAM); IPR029058 (G3DSA:3.40.50.GENE3D); IPR052370 (PANTHER); IPR029058 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, NO-BLAST]	g3464	-	261									no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED, ANNOTATED]	g3465	pentatricopeptide repeat-containing protein At4g39952, mitochondrial	2325	1	0.0	96.25	4	P:GO:0009451; F:GO:0003723; F:GO:0005515; C:GO:0043231	P:RNA modification; F:RNA binding; F:protein binding; C:intracellular membrane-bounded organelle			G3DSA:1.25.40.10:FF:000090 (FUNFAM); G3DSA:1.25.40.10:FF:000883 (FUNFAM); G3DSA:1.25.40.10:FF:000343 (FUNFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR011990 (G3DSA:1.25.40.GENE3D); IPR002885 (PFAM); IPR046848 (PFAM); IPR002885 (NCBIFAM); IPR002885 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR046960 (PANTHER); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR011990 (SUPERFAMILY); IPR011990 (SUPERFAMILY)	P:GO:0009451; F:GO:0003723; F:GO:0005515; C:GO:0043231	P:RNA modification; F:RNA binding; F:protein binding; C:intracellular membrane-bounded organelle
true	[INTERPRO, BLASTED]	g3466	unnamed protein product	264	5	3.06E-11	62.55						no IPS match	no IPS match	no IPS match
true	[INTERPRO, BLASTED]	g3467	uncharacterized protein LOC127800995 isoform X1	213	7	3.08E-33	94.05						IPR004252 (PFAM)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g3468	transcription factor MYB93-like	978	1	4.89E-236	98.46						Coil (COILS); G3DSA:1.10.10.60:FF:000001 (FUNFAM); G3DSA:1.10.10.60:FF:000349 (FUNFAM); G3DSA:1.10.10.60 (GENE3D); G3DSA:1.10.10.60 (GENE3D); IPR001005 (PFAM); IPR015495 (PANTHER); IPR017930 (PROSITE_PROFILES); IPR001005 (PROSITE_PROFILES); IPR001005 (PROSITE_PROFILES); IPR017930 (PROSITE_PROFILES); IPR001005 (CDD); IPR001005 (CDD); IPR009057 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g3469	50S ribosomal protein L29, chloroplastic	498	1	1.62E-100	96.36	4	P:GO:0006412; F:GO:0003735; C:GO:0005840; C:GO:0009507	P:translation; F:structural constituent of ribosome; C:ribosome; C:chloroplast			IPR036049 (G3DSA:1.10.287.GENE3D); IPR001854 (NCBIFAM); IPR001854 (PFAM); IPR050063 (PANTHER); IPR001854 (HAMAP); IPR001854 (CDD); IPR036049 (SUPERFAMILY)	P:GO:0006412; F:GO:0003735; C:GO:0005840; C:GO:0009507	P:translation; F:structural constituent of ribosome; C:ribosome; C:chloroplast
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g3470	ubiquitin carboxyl-terminal hydrolase 4	1110	20	4.15E-266	96.59	5	P:GO:0016579; P:GO:0031647; F:GO:0004843; C:GO:0005634; C:GO:0005829	P:protein deubiquitination; P:regulation of protein stability; F:cysteine-type deubiquitinase activity; C:nucleus; C:cytosol	EC:3.4.19.12	ubiquitinyl hydrolase 1	G3DSA:3.90.70.10:FF:000035 (FUNFAM); IPR001394 (PFAM); G3DSA:3.90.70.10 (GENE3D); IPR050164 (PANTHER); IPR018200 (PROSITE_PATTERNS); IPR018200 (PROSITE_PATTERNS); IPR028889 (PROSITE_PROFILES); cd02663 (CDD); IPR038765 (SUPERFAMILY)	P:GO:0016579; F:GO:0004843; C:GO:0005634; C:GO:0005829	P:protein deubiquitination; F:cysteine-type deubiquitinase activity; C:nucleus; C:cytosol
true	[INTERPRO, BLASTED, ANNOTATED]	g3471	calmodulin-binding transcription activator 3 isoform X2	6624	2	3.85E-257	97.62	4	P:GO:0006357; F:GO:0003690; F:GO:0003712; C:GO:0005634	P:regulation of transcription by RNA polymerase II; F:double-stranded DNA binding; F:transcription coregulator activity; C:nucleus			G3DSA:2.60.40.10:FF:000314 (FUNFAM); IPR036770 (G3DSA:1.25.40.GENE3D); IPR002909 (PFAM); IPR013783 (G3DSA:2.60.40.GENE3D); PTHR23335 (PANTHER); IPR014756 (SUPERFAMILY); IPR036770 (SUPERFAMILY)	P:GO:0006357; F:GO:0003690; F:GO:0003712; C:GO:0005634	P:regulation of transcription by RNA polymerase II; F:double-stranded DNA binding; F:transcription coregulator activity; C:nucleus
true	[INTERPRO, BLASTED, ANNOTATED]	g3472	cyclin-dependent kinase C-1	1545	2	0.0	95.44	6	P:GO:0006468; P:GO:0032968; F:GO:0005524; F:GO:0008353; C:GO:0000307; C:GO:0005634	P:protein phosphorylation; P:positive regulation of transcription elongation by RNA polymerase II; F:ATP binding; F:RNA polymerase II CTD heptapeptide repeat kinase activity; C:cyclin-dependent protein kinase holoenzyme complex; C:nucleus			G3DSA:3.30.200.20:FF:000272 (FUNFAM); G3DSA:1.10.510.10:FF:000273 (FUNFAM); G3DSA:1.10.510.10 (GENE3D); G3DSA:3.30.200.20 (GENE3D); IPR000719 (PFAM); PIRSR500950-50 (PIRSR); PIRSR037568-1 (PIRSR); PIRSR000620-2 (PIRSR); PIRSR000605-50 (PIRSR); PIRSR037393-2 (PIRSR); PIRSR037993-2 (PIRSR); PIRSR000559-1 (PIRSR); PIRSR628788-2 (PIRSR); PIRSR620777-50 (PIRSR); PIRSR000604-2 (PIRSR); PIRSR037281-1 (PIRSR); PIRSR000556-2 (PIRSR); PIRSR037281-3 (PIRSR); PIRSR000624-1 (PIRSR); PIRSR000550-3 (PIRSR); PIRSR630616-2 (PIRSR); PIRSR000628-1 (PIRSR); PIRSR630220-2 (PIRSR); PIRSR000660-1 (PIRSR); PIRSR000617-1 (PIRSR); PIRSR500947-50 (PIRSR); PIRSR038172-2 (PIRSR); PIRSR037281-2 (PIRSR); PIRSR000661-50 (PIRSR); PIRSR000636-2 (PIRSR); PIRSR600239-51 (PIRSR); PIRSR000554-1 (PIRSR); PIRSR000661-51 (PIRSR); PIRSR038165-50 (PIRSR); PIRSR000620-1 (PIRSR); PIRSR000636-1 (PIRSR); PIRSR000605-51 (PIRSR); PIRSR628788-1 (PIRSR); PIRSR000554-2 (PIRSR); PIRSR000666-1 (PIRSR); PIRSR037393-1 (PIRSR); PIRSR000624-2 (PIRSR); PIRSR038172-1 (PIRSR); PIRSR000619-2 (PIRSR); PIRSR630616-1 (PIRSR); PIRSR000617-2 (PIRSR); PIRSR630220-1 (PIRSR); PIRSR000619-1 (PIRSR); PIRSR037993-1 (PIRSR); PIRSR000628-2 (PIRSR); PIRSR630616-3 (PIRSR); PIRSR500951-1 (PIRSR); PIRSR000551-51 (PIRSR); PIRSR038189-1 (PIRSR); PIRSR000551-50 (PIRSR); PIRSR637770-1 (PIRSR); PIRSR037014-1 (PIRSR); PIRSR037921-2 (PIRSR); PIRSR000631-1 (PIRSR); PIRSR000552-2 (PIRSR); PIRSR037921-1 (PIRSR); PIRSR037014-2 (PIRSR); PIRSR637770-2 (PIRSR); PIRSR038189-2 (PIRSR); PIRSR000550-1 (PIRSR); PIRSR000632-1 (PIRSR); PIRSR000556-1 (PIRSR); PIRSR000666-2 (PIRSR); PIRSR000660-2 (PIRSR); PIRSR000606-51 (PIRSR); PIRSR000604-1 (PIRSR); PIRSR000632-2 (PIRSR); PIRSR500948-1 (PIRSR); PIRSR000552-1 (PIRSR); IPR050108 (PANTHER); IPR017441 (PROSITE_PATTERNS); IPR008271 (PROSITE_PATTERNS); IPR000719 (PROSITE_PROFILES); cd07840 (CDD); IPR011009 (SUPERFAMILY)	P:GO:0006468; P:GO:0032968; P:GO:0070816; F:GO:0004672; F:GO:0004674; F:GO:0005524; F:GO:0008353; C:GO:0000307; C:GO:0005634	P:protein phosphorylation; P:positive regulation of transcription elongation by RNA polymerase II; P:obsolete phosphorylation of RNA polymerase II C-terminal domain; F:protein kinase activity; F:protein serine/threonine kinase activity; F:ATP binding; F:RNA polymerase II CTD heptapeptide repeat kinase activity; C:cyclin-dependent protein kinase holoenzyme complex; C:nucleus
true	[INTERPRO, BLASTED]	g3473	uncharacterized protein LOC127803166	1251	2	1.6E-102	68.88						PTHR34064 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g3474	ras-related protein RABH1e-like	621	20	1.18E-138	97.95	4	P:GO:0016192; F:GO:0003924; F:GO:0005525; C:GO:0012505	P:vesicle-mediated transport; F:GTPase activity; F:GTP binding; C:endomembrane system	EC:3.6.1.15	nucleoside-triphosphate phosphatase	PR00449 (PRINTS); G3DSA:3.40.50.300:FF:002888 (FUNFAM); IPR027417 (G3DSA:3.40.50.GENE3D); IPR005225 (NCBIFAM); IPR001806 (PFAM); PIRSR603373-1 (PIRSR); PIRSR006809-1 (PIRSR); IPR050227 (PANTHER); PS51420 (PROSITE_PROFILES); IPR001806 (PROSITE_PROFILES); PS51419 (PROSITE_PROFILES); cd01861 (CDD); IPR027417 (SUPERFAMILY)	F:GO:0003924; F:GO:0005525	F:GTPase activity; F:GTP binding
true	[INTERPRO, BLASTED]	g3475	BTB/POZ domain-containing protein DOT3-like isoform X2	1773	2	0.0	92.26						Coil (COILS); IPR027356 (PFAM); IPR043454 (PANTHER); IPR027356 (PROSITE_PROFILES); IPR011333 (SUPERFAMILY)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g3476	uncharacterized protein LOC127804769 isoform X1	2205	6	1.47E-70	90.7	4	P:GO:0032543; F:GO:0003729; F:GO:0003735; C:GO:0005762	P:mitochondrial translation; F:mRNA binding; F:structural constituent of ribosome; C:mitochondrial large ribosomal subunit			G3DSA:3.30.70.330:FF:000436 (FUNFAM); IPR012677 (G3DSA:3.30.70.GENE3D); IPR013025 (PFAM); IPR013025 (PANTHER); IPR012678 (SUPERFAMILY)	P:GO:0006412; P:GO:0032543; F:GO:0003735; C:GO:0005762; C:GO:0005840	P:translation; P:mitochondrial translation; F:structural constituent of ribosome; C:mitochondrial large ribosomal subunit; C:ribosome
true	[INTERPRO, BLASTED, ANNOTATED]	g3477	probable xyloglucan endotransglucosylase/hydrolase protein 23	867	1	1.67E-199	95.83	6	P:GO:0010411; P:GO:0042546; F:GO:0004553; F:GO:0016762; C:GO:0005618; C:GO:0048046	P:xyloglucan metabolic process; P:cell wall biogenesis; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:xyloglucan:xyloglucosyl transferase activity; C:cell wall; C:apoplast			IPR008264 (PRINTS); G3DSA:2.60.120.200:FF:000025 (FUNFAM); IPR000757 (PFAM); IPR016455 (PIRSF); G3DSA:2.60.120.200 (GENE3D); IPR010713 (PFAM); PIRSR037299-1 (PIRSR); PIRSR005604-1 (PIRSR); IPR044791 (PANTHER); IPR008263 (PROSITE_PATTERNS); IPR000757 (PROSITE_PROFILES); IPR016455 (CDD); IPR013320 (SUPERFAMILY)	P:GO:0005975; P:GO:0010411; P:GO:0042546; P:GO:0044042; F:GO:0004553; F:GO:0016762; C:GO:0005618; C:GO:0048046	P:carbohydrate metabolic process; P:xyloglucan metabolic process; P:cell wall biogenesis; P:glucan metabolic process; F:hydrolase activity, hydrolyzing O-glycosyl compounds; F:xyloglucan:xyloglucosyl transferase activity; C:cell wall; C:apoplast
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g3478	asparagine synthetase [glutamine-hydrolyzing] 2	1746	20	0.0	96.06	3	F:GO:0004066; F:GO:0005524; C:GO:0005829	F:asparagine synthase (glutamine-hydrolyzing) activity; F:ATP binding; C:cytosol	EC:6.3.5.4	asparagine synthase (glutamine-hydrolyzing)	G3DSA:3.40.50.620:FF:000055 (FUNFAM); G3DSA:3.60.20.10:FF:000024 (FUNFAM); IPR029055 (G3DSA:3.60.20.GENE3D); IPR014729 (G3DSA:3.40.50.GENE3D); IPR017932 (PFAM); IPR001962 (PFAM); NF006949 (NCBIFAM); IPR006426 (PIRSF); PIRSR001589-3 (PIRSR); PIRSR000485-1 (PIRSR); PIRSR001589-1 (PIRSR); PIRSR001589-2 (PIRSR); IPR050795 (PANTHER); IPR017932 (PROSITE_PROFILES); IPR033738 (CDD); IPR001962 (CDD); IPR029055 (SUPERFAMILY); SSF52402 (SUPERFAMILY)	P:GO:0006529; F:GO:0004066; C:GO:0005829	P:obsolete asparagine biosynthetic process; F:asparagine synthase (glutamine-hydrolyzing) activity; C:cytosol
true	[INTERPRO, BLASTED]	g3479	uncharacterized protein LOC127804701 isoform X1	1140	2	2.87E-255	95.34						IPR006571 (PFAM); PTHR23354 (PANTHER); IPR006571 (PROSITE_PROFILES)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g3480	hypothetical protein RHMOL_Rhmol09G0134600	2874	2	2.0E-207	57.8	10	P:GO:0000045; P:GO:0000423; P:GO:0006501; P:GO:0016485; P:GO:0034727; P:GO:0035973; P:GO:0051697; F:GO:0004197; F:GO:0019786; C:GO:0005737	P:autophagosome assembly; P:mitophagy; P:C-terminal protein lipidation; P:protein processing; P:piecemeal microautophagy of the nucleus; P:aggrephagy; P:protein delipidation; F:cysteine-type endopeptidase activity; F:protein-phosphatidylethanolamide deconjugating activity; C:cytoplasm			IPR046792 (PFAM); IPR005078 (PANTHER); IPR038765 (SUPERFAMILY)	P:GO:0000045; P:GO:0000423; P:GO:0006501; P:GO:0016485; P:GO:0034727; P:GO:0035973; P:GO:0051697; F:GO:0004197; F:GO:0008234; F:GO:0019786; C:GO:0005737	P:autophagosome assembly; P:mitophagy; P:C-terminal protein lipidation; P:protein processing; P:piecemeal microautophagy of the nucleus; P:aggrephagy; P:protein delipidation; F:cysteine-type endopeptidase activity; F:cysteine-type peptidase activity; F:protein-phosphatidylethanolamide deconjugating activity; C:cytoplasm
true	[INTERPRO, BLASTED, ANNOTATED]	g3481	annexin Gh1-like	951	1	4.69E-218	98.42	9	P:GO:0009408; P:GO:0009409; P:GO:0009414; P:GO:0009651; F:GO:0001786; F:GO:0005509; F:GO:0005544; C:GO:0005737; C:GO:0005886	P:response to heat; P:response to cold; P:response to water deprivation; P:response to salt stress; F:phosphatidylserine binding; F:calcium ion binding; F:calcium-dependent phospholipid binding; C:cytoplasm; C:plasma membrane			IPR001464 (PRINTS); IPR009118 (PRINTS); G3DSA:1.10.220.10:FF:000009 (FUNFAM); G3DSA:1.10.220.10:FF:000006 (FUNFAM); G3DSA:1.10.220.10:FF:000001 (FUNFAM); G3DSA:1.10.220.10:FF:000008 (FUNFAM); IPR037104 (G3DSA:1.10.220.GENE3D); IPR018502 (PFAM); IPR037104 (G3DSA:1.10.220.GENE3D); IPR037104 (G3DSA:1.10.220.GENE3D); IPR037104 (G3DSA:1.10.220.GENE3D); PTHR10502 (PANTHER); IPR018252 (PROSITE_PATTERNS); IPR018502 (PROSITE_PROFILES); IPR018502 (PROSITE_PROFILES); IPR018502 (PROSITE_PROFILES); IPR018502 (PROSITE_PROFILES); IPR037104 (SUPERFAMILY)	P:GO:0009408; P:GO:0009409; P:GO:0009414; P:GO:0009651; F:GO:0001786; F:GO:0005509; F:GO:0005544; C:GO:0005737; C:GO:0005886	P:response to heat; P:response to cold; P:response to water deprivation; P:response to salt stress; F:phosphatidylserine binding; F:calcium ion binding; F:calcium-dependent phospholipid binding; C:cytoplasm; C:plasma membrane
true	[INTERPRO, BLASTED]	g3482	uncharacterized protein LOC127804065	912	20	1.63E-168	85.45						IPR025131 (PFAM); PTHR31132 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g3483	ABC transporter D family member 1	4017	4	0.0	94.23	9	P:GO:0006635; P:GO:0007031; P:GO:0015910; P:GO:0042760; F:GO:0005324; F:GO:0005524; F:GO:0016887; F:GO:0140359; C:GO:0005778	P:fatty acid beta-oxidation; P:peroxisome organization; P:long-chain fatty acid import into peroxisome; P:very long-chain fatty acid catabolic process; F:long-chain fatty acid transmembrane transporter activity; F:ATP binding; F:ATP hydrolysis activity; F:ABC-type transporter activity; C:peroxisomal membrane			IPR011527 (PFAM); IPR003439 (PFAM); IPR003439 (PFAM); IPR036640 (G3DSA:1.20.1560.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); IPR027417 (G3DSA:3.40.50.GENE3D); IPR050835 (PANTHER); IPR017871 (PROSITE_PATTERNS); IPR017871 (PROSITE_PATTERNS); IPR011527 (PROSITE_PROFILES); IPR003439 (PROSITE_PROFILES); IPR011527 (PROSITE_PROFILES); IPR003439 (PROSITE_PROFILES); cd03223 (CDD); cd03223 (CDD); IPR027417 (SUPERFAMILY); IPR027417 (SUPERFAMILY); IPR036640 (SUPERFAMILY); IPR036640 (SUPERFAMILY)	P:GO:0006635; P:GO:0007031; P:GO:0015910; P:GO:0042760; P:GO:0055085; F:GO:0005324; F:GO:0005524; F:GO:0016887; F:GO:0042626; F:GO:0140359; C:GO:0005778; C:GO:0016020	P:fatty acid beta-oxidation; P:peroxisome organization; P:long-chain fatty acid import into peroxisome; P:very long-chain fatty acid catabolic process; P:transmembrane transport; F:long-chain fatty acid transmembrane transporter activity; F:ATP binding; F:ATP hydrolysis activity; F:ATPase-coupled transmembrane transporter activity; F:ABC-type transporter activity; C:peroxisomal membrane; C:membrane
true	[INTERPRO, BLASTED]	g3484	uncharacterized protein LOC127804923	1368	1	1.12E-240	93.86						PTHR35310 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g3485	uncharacterized protein LOC127804696 isoform X1	1569	1	0.0	96.53	3	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane			G3DSA:1.20.1250.20:FF:000520 (FUNFAM); IPR036259 (G3DSA:1.20.1250.GENE3D); IPR036259 (G3DSA:1.20.1250.GENE3D); IPR011701 (PFAM); IPR044770 (PANTHER); IPR020846 (PROSITE_PROFILES); IPR044770 (CDD); IPR036259 (SUPERFAMILY)	P:GO:0055085; F:GO:0005215; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transporter activity; F:transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED, ANNOTATED]	g3486	uncharacterized protein LOC127804696 isoform X1	1572	1	0.0	97.11	3	P:GO:0055085; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transmembrane transporter activity; C:membrane			G3DSA:1.20.1250.20:FF:000520 (FUNFAM); IPR036259 (G3DSA:1.20.1250.GENE3D); IPR036259 (G3DSA:1.20.1250.GENE3D); IPR011701 (PFAM); IPR044770 (PANTHER); IPR020846 (PROSITE_PROFILES); IPR044770 (CDD); IPR036259 (SUPERFAMILY)	P:GO:0055085; F:GO:0005215; F:GO:0022857; C:GO:0016020	P:transmembrane transport; F:transporter activity; F:transmembrane transporter activity; C:membrane
true	[INTERPRO, BLASTED]	g3487	uncharacterized protein LOC127804711 isoform X1	1383	2	8.34E-269	92.5						IPR008889 (PFAM); IPR039609 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED]	g3488	uncharacterized protein LOC127804711 isoform X2	1692	2	9.55E-260	92.47						IPR008889 (PFAM); IPR039609 (PANTHER)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g3489	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit 3	894	20	8.9E-169	84.09	13	P:GO:0006099; P:GO:0006124; P:GO:0022904; F:GO:0008177; F:GO:0009055; F:GO:0046872; F:GO:0051537; F:GO:0051538; F:GO:0051539; C:GO:0005743; C:GO:0009507; C:GO:0009579; C:GO:0045273	P:tricarboxylic acid cycle; P:ferredoxin metabolic process; P:respiratory electron transport chain; F:succinate dehydrogenase (quinone) activity; F:electron transfer activity; F:metal ion binding; F:2 iron, 2 sulfur cluster binding; F:3 iron, 4 sulfur cluster binding; F:4 iron, 4 sulfur cluster binding; C:mitochondrial inner membrane; C:chloroplast; C:thylakoid; C:respiratory chain complex II (succinate dehydrogenase)	EC:1.3.5.1	succinate dehydrogenase	G3DSA:1.10.1060.10:FF:000001 (FUNFAM); IPR012675 (G3DSA:3.10.20.GENE3D); IPR017896 (PFAM); IPR004489 (NCBIFAM); NF004616 (NCBIFAM); IPR025192 (PFAM); IPR009051 (G3DSA:1.10.1060.GENE3D); IPR050573 (PANTHER); IPR017900 (PROSITE_PATTERNS); IPR006058 (PROSITE_PATTERNS); IPR017896 (PROSITE_PROFILES); SSF46548 (SUPERFAMILY); IPR036010 (SUPERFAMILY)	P:GO:0006099; P:GO:0009060; P:GO:0022904; F:GO:0009055; F:GO:0016491; F:GO:0051536; F:GO:0051537; C:GO:0005739	P:tricarboxylic acid cycle; P:aerobic respiration; P:respiratory electron transport chain; F:electron transfer activity; F:oxidoreductase activity; F:iron-sulfur cluster binding; F:2 iron, 2 sulfur cluster binding; C:mitochondrion
true	[INTERPRO, BLASTED]	g3490	UDP-glycosyltransferase 88A1-like	534	1	2.17E-43	69.74						G3DSA:3.40.50.2000 (GENE3D)	no GO terms	no GO terms
true	[INTERPRO, BLASTED, ANNOTATED]	g3491	protein SCO1 homolog 2, mitochondrial isoform X1	813	2	1.66E-180	96.23	1	P:GO:0033617	P:mitochondrial respiratory chain complex IV assembly			G3DSA:3.40.30.10:FF:000013 (FUNFAM); IPR003782 (PFAM); G3DSA:3.40.30.10 (GENE3D); IPR003782 (PANTHER); IPR003782 (CDD); IPR036249 (SUPERFAMILY)	P:GO:0033617	P:mitochondrial respiratory chain complex IV assembly
true	[INTERPRO, BLASTED, ANNOTATED]	g3492	inactive TPR repeat-containing thioredoxin TTL3	1803	1	0.0	97.17	2	F:GO:0005515; C:GO:0005737	F:protein binding; C:cytoplasm			Coil (COILS); PF13432 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR044534 (PANTHER); IPR019734 (PROSITE_PROFILES); IPR011990 (SUPERFAMILY)	F:GO:0005515; C:GO:0005737	F:protein binding; C:cytoplasm
true	[INTERPRO, BLASTED, ANNOTATED]	g3493	pentatricopeptide repeat-containing protein At1g73400, mitochondrial	1761	1	1.08E-300	95.9	1	F:GO:0005515	F:protein binding			IPR011990 (G3DSA:1.25.40.GENE3D); IPR002885 (PFAM); IPR002885 (PFAM); IPR002885 (NCBIFAM); IPR011990 (G3DSA:1.25.40.GENE3D); IPR002885 (PFAM); IPR011990 (G3DSA:1.25.40.GENE3D); PTHR47941 (PANTHER); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); IPR002885 (PROSITE_PROFILES); SSF81901 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	g3494	PLAT domain-containing protein 3	564	1	2.62E-128	96.26	1	F:GO:0005515	F:protein binding			G3DSA:2.60.60.20 (GENE3D); IPR001024 (PFAM); PIRSR601885-2 (PIRSR); PIRSR601885-3 (PIRSR); PTHR31718 (PANTHER); IPR001024 (PROSITE_PROFILES); cd01754 (CDD); IPR036392 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	g3495	PLAT domain-containing protein 3	564	1	1.25E-126	94.12	1	F:GO:0005515	F:protein binding			IPR001024 (PFAM); G3DSA:2.60.60.20 (GENE3D); PIRSR601885-2 (PIRSR); PIRSR601885-3 (PIRSR); PTHR31718 (PANTHER); IPR001024 (PROSITE_PROFILES); cd01754 (CDD); IPR036392 (SUPERFAMILY)	F:GO:0005515	F:protein binding
true	[INTERPRO, BLASTED, ANNOTATED]	g3496	NDR1/HIN1-like protein 13	744	1	6.35E-155	94.4	2	P:GO:0098542; C:GO:0005886	P:defense response to other organism; C:plasma membrane			G3DSA:2.60.40.1820 (GENE3D); IPR044839 (PANTHER); SSF117070 (SUPERFAMILY)	P:GO:0098542; C:GO:0005886	P:defense response to other organism; C:plasma membrane
true	[INTERPRO, BLASTED, ANNOTATED]	g3497	probable trehalose-phosphate phosphatase J	1293	1	9.97E-277	92.17	2	P:GO:0005992; F:GO:0004805	P:trehalose biosynthetic process; F:trehalose-phosphatase activity			G3DSA:3.40.50.1000:FF:000099 (FUNFAM); G3DSA:3.40.50.1000:FF:000073 (FUNFAM); IPR006379 (NCBIFAM); IPR003337 (PFAM); IPR023214 (G3DSA:3.40.50.GENE3D); IPR003337 (NCBIFAM); IPR044651 (PANTHER); cd01627 (CDD); IPR036412 (SUPERFAMILY)	P:GO:0005992; F:GO:0004805	P:trehalose biosynthetic process; F:trehalose-phosphatase activity
true	[INTERPRO, BLASTED, MAPPED, ANNOTATED]	g3498	transcription factor ERF30	1116	2	1.3E-217	88.6	5	P:GO:0006355; P:GO:0009873; F:GO:0000976; F:GO:0003700; C:GO:0005634	P:regulation of DNA-templated transcription; P:ethylene-activated signaling pathway; F:transcription cis-regulatory region binding; F:DNA-binding transcription factor activity; C:nucleus			IPR001471 (PRINTS); G3DSA:3.30.730.10:FF:000001 (FUNFAM); IPR036955 (G3DSA:3.30.730.GENE3D); IPR001471 (PFAM); IPR051758 (PANTHER); IPR001471 (PROSITE_PROFILES); IPR001471 (CDD); IPR016177 (SUPERFAMILY)	P:GO:0006355; F:GO:0003677; F:GO:0003700; F:GO:0043565; C:GO:0005634	P:regulation of DNA-templated transcription; F:DNA binding; F:DNA-binding transcription factor activity; F:sequence-specific DNA binding; C:nucleus
